altitude,zenith,decay,gauss_blur,ncontours
1,60,0.5,3,10
1,55,0.5,6,12
1,89,0,6,12
1,87,0,3,10
1,85,0,3,12
1,80,0,3,10
1,75,0,3,10
1,70,0,2,12
1,65,0,2,12
1,60,0,2,12
1,55,0,3,10
0.5,89,0,3,10
0.5,87,0,3,10
0.5,85,0,3,10
0.5,80,0,3,10
0.5,75,0,3,10
0.5,70,0,3,10
0.5,65,0,3,12
0.5,60,0,3,10
0.5,55,0,3,8
0.5,89,0.5,3,10
0.5,87,0.5,3,10
0.5,85,0.5,3,10
0.5,80,0.5,3,10
0.5,75,0.5,3,10
0.5,70,0.5,3,10
0.5,65,0.5,3,12
0.5,60,0.5,3,10
0.5,55,0.5,3,8
