,nu-sum,,nu-e,,,nu=mu,,,nu-tau,,,,
log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),log Energy (eV),Exposure (cm^2 sr sec),Acceptance (km^2 sr),,
15.1913281,14.86811787,0.000352138,15.15895126,14.9180956,0.000395085,15.00326121,14.62971302,0.00020338,14.89523058,14.66126608,0.000218706,,
15.17722001,15.0081114,0.000486079,15.14852184,15.05724007,0.000544296,14.94657638,14.69752381,0.000237749,14.8389539,14.73349625,0.000258281,,
15.16657729,15.15705565,0.000684938,15.1380996,15.19547835,0.000748297,14.89010571,14.76564892,0.000278128,14.78288985,14.78774312,0.000292643,,
15.15563203,15.30047855,0.000952959,15.12768453,15.33498576,0.001031766,14.83384839,14.83448097,0.000325894,14.72703761,14.8312349,0.000323467,,
15.14591561,15.43945519,0.001312353,15.11467577,15.48363864,0.001452895,14.77780363,14.90324088,0.0003818,14.6713964,14.87524684,0.000357966,,
15.13529484,15.59244826,0.001866568,15.10427682,15.62805806,0.002026066,14.72197061,14.9719247,0.000447219,14.6159654,14.91899597,0.000395905,,
15.12421444,15.74555322,0.002655515,15.09388502,15.77077447,0.002814297,14.66634854,15.04132169,0.000524707,14.56074384,14.96326835,0.000438393,,
15.11120866,15.89242258,0.003724072,15.07675418,15.90158419,0.003803467,14.61093662,15.10386944,0.000605989,14.50573091,15.00767211,0.000485588,,
15.09587113,16.02803737,0.005089004,15.06534442,16.42289585,0.012632558,14.55573405,15.14709263,0.000669404,14.45092582,15.05260456,0.000538518,,
15.08445655,16.19329361,0.007445418,15.06016102,16.31844057,0.009931984,14.50074005,15.19444576,0.00074652,14.39632781,15.09727342,0.000596855,,
15.08453851,16.35059241,0.010695174,15.05497941,16.21464967,0.007820691,14.44595382,15.23310703,0.000816023,14.34193607,15.14207484,0.000661714,,
15.08090532,16.48968093,0.014732498,15.04979958,16.11619305,0.006234312,14.39137459,15.27307488,0.000894685,14.28774983,15.18700921,0.000733846,,
15.08090532,16.62415478,0.020079377,15.04462153,16.01368851,0.004923614,14.33700156,15.31557063,0.000986657,14.23376832,15.23207692,0.00081409,,
15.05794011,15.88609158,0.003670177,15.03427077,15.81980622,0.003150661,14.28283397,15.35777963,0.001087364,14.17999075,15.27727837,0.000903387,,
15.05238927,15.74764816,0.002668355,15.02909806,15.7191868,0.002499092,14.22887103,15.40051106,0.001199794,14.12641637,15.32261395,0.001002789,,
